numRequests,tamanhoResposta,totalImageSize,RequestsJS,RequestsHTML,RequestsCSS,avgNumRequests,avgTamanhoResposta,avgTotalImageSize,avgRequestsJS,avgRequestsHTML,avgRequestsCSS,totalSilenceTime,avgSilenceTime,silenceCount,Label
39,212652,104243,19,6,0,3.9,21265.2,10424.3,1.9,0.6,0,247,35.28571429,7,0
32,212884,100345,19,7,0,3.2,21288.4,10034.5,1.9,0.7,0,271,38.71428571,7,0
7,21898,5390,0,4,0,0.7,2189.8,539,0,0.4,0,156,31.2,5,0
7,21898,5390,0,4,0,0.7,2189.8,539,0,0.4,0,156,31.2,5,0
36,384818,250216,14,8,0,3.6,38481.8,25021.6,1.4,0.8,0,267,26.7,10,0
39,382051,249715,14,8,0,3.9,38205.1,24971.5,1.4,0.8,0,239,23.9,10,0
41,387656,252165,14,8,0,4.1,38765.6,25216.5,1.4,0.8,0,242,22,11,0
47,508227,359713,14,12,0,4.7,50822.7,35971.3,1.4,1.2,0,210,14,15,0
69,598202,360200,33,13,0,6.9,59820.2,36020,3.3,1.3,0,272,16,17,0
44,252168,119788,19,12,0,4.4,25216.8,11978.8,1.9,1.2,0,260,18.57142857,14,0
27,811581,617177,8,0,7,2.7,81158.1,61717.7,0.8,0,0.7,0,0,0,0
1,5183,0,0,1,0,0.1,518.3,0,0,0.1,0,0,0,0,0
3,5183,0,0,1,0,0.1,518.3,0,0,0.1,0,0,0,0,0
5,5183,0,0,1,0,0.1,518.3,0,0,0.1,0,0,0,0,0
1,5183,0,0,1,0,0.1,518.3,0,0,0.1,0,0,0,0,0
10,5183,0,0,1,0,0.1,518.3,0,0,0.1,0,0,0,0,0
8,5278,0,0,1,0,0.1,527.8,0,0,0.1,0,0,0,0,0
16,962733,951184,0,3,0,1.6,96273.3,95118.4,0,0.3,0,55,27.5,2,0
17,963221,951672,0,3,0,1.7,96322.1,95167.2,0,0.3,0,75,25,3,0
26,1984713,1968689,0,4,0,2.6,198471.3,196868.9,0,0.4,0,149,37.25,4,0
26,1984713,1968689,0,4,0,2.6,198471.3,196868.9,0,0.4,0,149,37.25,4,0
25,1979435,1968689,0,3,0,2.5,197943.5,196868.9,0,0.3,0,138,46,3,0
10,1021980,1017505,0,1,0,1,102198,101750.5,0,0.1,0,74,74,1,0
9,1021492,1017017,0,1,0,0.9,102149.2,101701.7,0,0.1,0,0,0,0,0
1,3687,0,0,1,0,0.1,368.7,0,0,0.1,0,0,0,0,0
6,263897,256578,0,2,0,0.6,26389.7,25657.8,0,0.2,0,112,112,1,0
9,756309,744860,0,3,0,0.9,75630.9,74486,0,0.3,0,121,60.5,2,0
9,756309,744860,0,3,0,0.9,75630.9,74486,0,0.3,0,121,60.5,2,0
9,756309,744860,0,3,0,0.9,75630.9,74486,0,0.3,0,121,60.5,2,0
10,771310,760393,0,3,0,1,77131,76039.3,0,0.3,0,215,107.5,2,0
6,514255,503815,0,2,0,0.6,51425.5,50381.5,0,0.2,0,276,138,2,0
4,25406,15533,0,2,0,0.4,2540.6,1553.3,0,0.2,0,89,44.5,2,0
4,25406,15533,0,2,0,0.4,2540.6,1553.3,0,0.2,0,89,44.5,2,0
4,25406,15533,0,2,0,0.4,2540.6,1553.3,0,0.2,0,89,44.5,2,0
5,228147,218740,0,3,0,0.5,22814.7,21874,0,0.3,0,252,84,3,0
4,224992,218740,0,3,0,0.4,22499.2,21874,0,0.3,0,233,116.5,2,0
3,221429,218740,0,2,0,0.3,22142.9,21874,0,0.2,0,8,8,1,0
13,342338,334632,0,3,0,1.3,34233.8,33463.2,0,0.3,0,154,77,2,0
