numRequests,tamanhoResposta,totalImageSize,RequestsJS,RequestsHTML,RequestsCSS,totalSilenceTime,silenceCount,Label
346,9272480,7520183,110,29,93,281,28,1
337,9249219,7553736,107,29,92,281,28,1
364,10908733,9217188,100,30,94,291,29,1
377,11903514,10317625,100,30,88,292,29,1
361,10241300,8593972,100,30,87,292,29,1
334,9290149,7677368,100,29,82,281,28,1
360,10653212,9093840,97,29,83,281,28,1
349,9302464,7613615,112,29,82,280,28,1
316,6980352,5315653,109,29,81,280,28,1
314,6842489,5102640,110,29,90,280,28,1
335,8003324,6269015,106,30,94,290,29,1
382,10112905,8188457,112,30,97,291,29,1
331,7514048,5782230,97,29,88,281,28,1
363,8766718,6873357,103,29,100,281,28,1
369,10255282,8354002,106,29,92,281,28,1
403,11770108,9783179,110,29,91,280,28,1
322,8455047,6743055,99,29,83,281,28,1
375,11854601,10116796,97,30,83,291,29,1
335,10722240,9232621,81,30,71,291,29,1
352,10673226,9248049,79,30,77,291,29,1
371,12457480,11127082,74,29,74,281,28,1
400,13585155,12012261,86,29,85,281,28,1
354,11243126,9754569,86,29,81,281,28,1
417,16816091,15330746,83,29,76,281,28,1
357,14825434,13577690,69,29,61,291,29,1
340,12755285,11295094,82,30,78,291,29,1
346,13412236,12105638,77,29,74,280,28,1
396,14999511,13554175,85,29,83,280,28,1
358,11421390,10029537,86,29,88,280,28,1
419,13066658,11313724,110,29,106,280,28,1
463,15789990,14248328,96,29,90,280,28,1
447,14881990,13387126,92,29,89,280,28,1
423,13487185,11999333,91,29,88,280,28,1
435,12115982,10328230,113,29,99,280,28,1
421,11491721,9835798,112,29,92,281,28,1
352,6992580,5215770,125,29,102,291,29,1
362,6847089,4926806,131,29,103,281,28,1
366,11306491,9833835,82,26,78,287,25,1
385,12964841,11400399,89,27,81,292,26,1
342,12121707,10849770,73,26,71,284,25,1
363,15494120,14373482,63,26,63,276,25,1
367,15140186,13925928,72,27,72,279,26,1
411,18256849,16897126,80,28,76,283,27,1
441,20101766,18770906,79,27,78,267,26,1
503,24675361,23362158,78,28,70,285,27,1
529,23574970,21991667,96,28,78,280,27,1
467,20055010,18464234,94,27,74,281,26,1
475,18064622,16455518,91,28,81,286,27,1
443,15035190,13499382,90,28,79,285,27,1
421,12245675,10677900,98,28,86,288,27,1
364,10391054,8972146,86,27,78,282,26,1
384,11290107,9972826,80,27,77,281,26,1
328,10420533,9184483,76,27,61,281,26,1
325,10064633,8691906,80,27,66,287,26,1
346,12712647,11158323,85,27,72,278,26,1
344,12737670,11163974,84,27,70,271,26,1
336,12503497,10872169,93,28,79,287,27,1
339,13373849,11776201,92,28,85,286,27,1
327,13612458,12238168,82,28,72,289,27,1
313,10170245,8632960,89,28,79,288,27,1
322,12374188,11013033,80,28,74,284,27,1
323,11090989,9583034,87,28,74,290,27,1
382,13332780,11547548,97,28,88,281,27,1
446,15599893,13426288,117,30,111,292,29,1
417,13977305,11949692,113,29,104,283,28,1
443,14324403,12191391,117,30,107,289,29,1
423,14145697,12142589,106,29,100,285,28,1
362,9987145,8209947,99,29,89,293,28,1
312,7245227,5525529,96,27,79,282,26,1
313,7735780,6012999,96,27,82,281,26,1
291,5683913,3949664,104,28,88,283,27,1
271,5735100,4145643,94,28,85,282,27,1
288,6213792,4602331,98,28,90,289,28,1
286,6188550,4655147,91,28,95,277,27,1
300,6139121,4623680,89,30,100,289,29,1
269,5136660,3617293,83,29,91,288,28,1
305,6097418,4351070,97,30,99,293,29,1
299,5349801,3600571,100,30,98,290,29,1
384,11352294,9562810,105,31,89,290,30,1
358,10443712,8666349,105,29,81,280,28,1
445,14471785,12520249,114,29,88,283,28,1
480,16723039,14819583,115,29,86,281,28,1
478,17135792,15253912,110,28,81,279,27,1
415,11682029,9833354,108,28,87,278,27,1
422,12574698,10957111,98,28,86,286,27,1
391,10040641,8441060,103,28,92,284,27,1
378,9509611,7898594,103,27,93,282,26,1
379,9841004,8120264,109,26,97,282,25,1
418,15396326,13803878,100,26,90,285,25,1
437,16685079,14837501,112,27,98,289,26,1
383,14975446,13346538,94,26,90,273,25,1
381,14796499,13191632,91,27,89,282,26,1
418,18832724,17398770,81,28,83,286,27,1
283,7217385,5888739,70,19,65,289,18,1
291,6663255,5238641,76,19,72,284,18,1
303,6752823,5254467,85,19,79,290,18,1
270,6288696,5018380,69,18,69,280,17,1
226,4545262,3304939,65,18,66,274,17,1
205,4340632,3225788,60,18,61,282,17,1
190,4522225,3635393,52,17,52,274,16,1
184,4785425,4001868,46,18,44,275,17,1
205,5012898,3984449,62,19,49,278,18,1
184,4146681,3229589,62,19,45,282,18,1
216,6645853,5520321,67,19,52,286,18,1
217,6293911,5025387,72,20,59,290,19,1
228,5862780,4444191,79,19,67,288,18,1
256,7314665,5930736,80,19,72,271,18,1
273,8074242,6628061,83,19,77,265,18,1
251,6574577,5408847,72,19,71,282,18,1
238,6435826,5288304,72,18,64,272,17,1
189,5777435,4960059,53,17,44,270,16,1
166,4940077,4163319,51,17,39,274,16,1
175,4203273,3322404,56,18,48,289,17,1
163,3010957,2078515,60,18,49,283,17,1
157,3026520,2263309,52,18,46,269,17,1
228,4271136,3023825,79,20,73,289,19,1
221,3444634,2185102,76,20,79,291,19,1
213,3400772,2113184,75,19,76,278,18,1
241,5309210,3856724,83,18,78,271,17,1
268,5972463,4357313,93,20,84,283,19,1
217,4991861,3836736,69,19,64,266,18,1
247,6511021,5246370,78,19,69,288,19,1
257,6521036,5195526,83,19,71,272,18,1
241,4600059,3361327,78,20,75,287,19,1
224,5555022,4506675,66,19,70,274,18,1
215,5320476,4213459,68,18,67,269,17,1
306,12935945,12047560,49,18,50,279,17,1
309,12922734,12059082,51,18,53,272,17,1
336,13917112,12851159,66,19,61,275,18,1
327,12217914,11037744,69,19,63,283,18,1
345,12461058,11176134,74,20,73,286,19,1
220,3264866,1883098,84,19,80,264,18,1
246,5314575,3934237,75,20,74,284,19,1
207,4419494,3299671,57,18,56,261,17,1
215,5305622,4114268,61,18,58,273,17,1
224,5547695,4304109,67,18,57,273,17,1
245,6835717,5509434,70,19,60,293,18,1
197,4538787,3296030,67,19,59,280,18,1
282,10168290,8801107,69,20,61,288,19,1
292,10102367,8779919,68,20,61,292,19,1
288,11217973,10043672,57,20,55,273,19,1
270,10902629,9853377,51,19,51,264,18,1
279,10869817,9743702,60,20,55,284,19,1
203,5115571,3988784,66,20,58,286,19,1
175,4018729,3013732,62,19,50,272,18,1
204,4813001,3591645,75,19,59,277,18,1
250,5748217,4330661,83,21,72,292,20,1
244,6088696,4722483,79,20,67,281,19,1
255,7139895,5802104,77,19,68,277,18,1
111,3335180,2800926,29,8,30,273,7,1
93,2016067,1476531,29,7,30,238,6,1
111,2830651,2214031,32,8,36,290,7,1
95,3037367,2557245,24,7,30,259,6,1
74,3269117,2963589,16,7,20,252,6,1
68,3524541,3277307,13,7,18,253,6,1
48,3039282,2909305,7,8,14,274,7,1
39,2281347,2176986,7,8,11,259,7,1
46,2029103,1918222,9,8,14,264,7,1
61,2367087,2215505,11,8,17,265,7,1
59,1944542,1799434,11,8,16,265,7,1
54,1472019,1336581,11,7,13,236,6,1
87,5098996,4959331,10,7,13,242,6,1
88,5080257,4866281,12,7,15,253,6,1
81,4142574,3890171,15,7,16,256,6,1
98,4564571,4194349,21,7,20,254,6,1
124,4887154,4330029,31,8,28,284,7,1
86,1314668,789075,31,7,25,228,6,1
89,1581426,1109608,29,8,24,272,7,1
85,1509178,1033645,25,7,24,244,6,1
87,2127519,1748968,18,7,18,246,6,1
63,1818613,1613288,7,7,12,267,6,1
64,1737929,1526799,6,7,15,266,6,1
62,1482814,1247459,6,7,15,252,6,1
54,1309414,1119003,6,7,12,255,6,1
63,1100018,773433,15,8,22,272,7,1
92,2660475,2293286,19,8,27,258,7,1
96,2827768,2438478,21,8,26,257,7,1
86,2728843,2397285,18,7,23,233,6,1
165,6509287,6152959,17,8,24,280,7,1
139,5682518,5425415,13,7,16,251,6,1
131,4330092,3909954,20,7,20,263,6,1
130,4175348,3768666,22,7,20,256,6,1
152,4933344,4389614,30,8,25,285,7,1
91,2050973,1458086,36,7,27,249,6,1
116,3159292,2520226,40,8,32,273,7,1
111,3170060,2629446,35,7,26,239,6,1
124,3388197,2761700,37,7,30,237,6,1
107,2674967,2144960,30,7,27,235,6,1
96,2418266,1929828,25,7,25,243,6,1
135,4480935,4038360,18,7,19,242,6,1
125,4498782,4116359,17,7,17,239,6,1
125,4404995,3983921,21,8,19,285,7,1
133,4514125,4024655,27,7,21,257,6,1
157,5276894,4733844,33,8,24,287,7,1
100,2359232,1759175,38,7,28,253,6,1
102,2262963,1683715,36,7,29,247,6,1
90,2230357,1784459,29,7,21,245,6,1
81,2102300,1739517,25,7,18,249,6,1
69,1328747,929109,25,7,23,261,6,1
56,1011793,728898,20,7,18,258,6,1
63,1072762,659388,25,8,22,290,7,1
56,967528,554436,23,7,22,250,6,1
60,1344803,913753,24,7,21,254,6,1
55,1184265,859770,18,7,16,246,6,1
90,2348399,1805708,29,8,28,274,7,1
44,1584398,1271750,15,8,10,292,7,1
40,1635306,1364698,13,7,10,241,6,1
40,1633096,1402959,12,8,10,274,7,1
41,1793165,1596545,13,7,9,230,6,1
56,1943662,1600937,19,8,16,274,7,1
54,1871814,1606118,17,7,15,232,6,1
70,1794810,1358756,24,8,19,281,7,1
73,1816830,1385168,23,7,19,238,6,1
90,2499866,2073868,20,8,17,279,7,1
81,2376912,2076979,14,7,13,243,6,1
79,2438791,2156544,11,8,12,280,7,1
61,2054574,1941053,3,7,8,244,6,1
65,1840056,1703396,5,8,11,283,7,1
43,706296,576602,7,7,12,244,6,1
46,1366737,1204125,8,7,10,250,6,1
54,1693397,1513341,12,7,10,254,6,1
55,1722030,1513341,13,7,10,264,6,1
60,1988828,1731044,15,7,11,250,6,1
58,1898689,1632985,14,7,12,244,6,1
55,1591435,1375026,11,8,12,286,7,1
47,1207066,985456,11,7,11,247,6,1
50,1237385,989848,13,7,11,259,6,1
54,985833,701531,16,7,12,260,6,1
56,999038,697139,18,7,13,250,6,1
57,1027696,691389,20,7,15,245,6,1
60,1042602,691389,21,7,17,238,6,1
63,1567305,1220696,19,8,19,295,7,1
40,1134414,913800,12,7,13,255,6,1
46,1187438,913800,15,8,15,291,7,1
44,948491,709126,13,7,14,242,6,1
49,1350850,1120642,10,7,13,239,6,1
44,807548,586943,12,7,9,244,6,1
50,1641722,1425128,11,7,9,251,6,1
63,2480100,2273497,10,7,5,258,6,1
63,2363261,2106854,13,7,7,256,6,1
57,1964391,1690946,13,8,10,290,7,1
54,1917545,1690946,10,7,11,249,6,1
54,1746389,1492622,11,7,13,247,6,1
38,876235,644253,12,7,14,250,6,1
35,850287,644253,10,7,13,255,6,1
42,906012,648645,14,7,15,256,6,1
44,918362,652853,15,7,15,257,6,1
50,445303,150585,20,8,14,298,7,1
47,427911,150585,17,7,15,242,6,1
65,1863498,1608942,20,8,14,285,7,1
51,1754549,1604550,15,7,7,247,6,1
49,1746764,1607312,14,7,6,248,6,1
42,1772234,1656938,10,7,8,238,6,1
48,1841629,1729414,13,8,7,268,7,1
30,396106,276059,11,7,5,226,6,1
36,475792,280451,13,8,7,273,7,1
39,494328,273481,15,8,9,277,7,1
47,405094,152324,19,8,10,275,7,1
44,404604,156453,18,7,9,242,6,1
48,423211,151451,20,8,12,270,7,1
54,614427,395897,20,8,12,254,7,1
24,294593,200407,3,7,3,240,6,1
27,764907,668982,2,6,4,257,5,1
27,791259,705324,2,6,4,252,5,1
44,1746146,1646533,4,8,5,278,7,1
49,1821350,1710409,5,9,7,299,8,1
46,1957426,1846413,5,9,7,291,8,1
43,1477601,1371739,8,9,6,262,8,1
47,1512820,1395106,10,10,6,261,9,1
31,554850,420937,10,8,4,241,7,1
31,646603,514435,11,8,2,246,7,1
32,430468,292666,11,8,3,275,7,1
28,709697,589646,7,7,3,242,6,1
24,897154,805019,4,6,2,237,5,1
29,1754749,1691200,2,7,2,262,6,1
28,1706676,1643997,0,6,3,199,5,1
32,1868715,1805669,0,8,2,289,7,1
34,1704500,1630814,2,9,2,286,8,1
33,1431381,1355732,3,9,2,259,8,1
27,546098,441136,4,8,2,246,7,1
31,1441011,1335335,5,10,2,286,9,1
28,1448598,1349268,5,8,2,276,7,1
27,1706000,1636674,4,7,1,266,6,1
35,2115553,2029771,4,7,2,271,6,1
40,2126838,2036054,6,8,3,285,7,1
37,1591193,1509269,5,6,2,212,5,1
38,1519905,1435481,5,7,3,242,6,1
38,1273141,1156255,6,7,4,225,6,1
30,1319241,1221803,6,7,3,251,6,1
34,1599890,1500923,6,7,3,259,6,1
34,1395318,1271157,7,8,3,251,7,1
31,1306236,1180716,7,7,3,242,6,1
28,1136228,1047726,5,7,3,245,6,1
64,2598806,2488766,4,8,4,265,7,1
56,2282934,2205254,3,7,3,266,6,1
53,2043180,1991618,3,6,3,233,5,1
59,2171566,2062269,6,7,3,256,6,1
58,2170348,2060562,6,7,2,244,6,1
24,333079,241632,6,7,2,235,6,1
29,470355,363011,5,8,4,271,7,1
48,3424029,3291981,4,9,4,270,8,1
72,4676568,4560690,2,9,4,254,8,1
78,4942829,4824536,3,10,4,277,9,1
88,5817436,5668071,5,9,3,257,8,1
81,5860381,5733911,4,8,1,273,7,1
72,3243512,3107202,7,8,2,274,7,1
56,3011668,2905888,8,8,2,268,7,1
55,2979318,2836501,8,7,3,217,6,1
46,2551865,2439596,7,7,3,217,6,1
48,2456156,2307338,9,7,3,255,6,1
41,2110132,1975102,8,7,3,247,6,1
30,1008619,863108,6,7,3,265,6,1
35,841989,724500,9,8,3,245,7,1
31,305570,192907,8,8,4,245,7,1
31,261810,180195,8,8,4,258,7,1
31,321546,175987,9,8,4,280,7,1
29,253298,113593,11,7,3,225,6,1
