time_window_number,ip,mean_numRequests,mean_tamanhoResposta,mean_numRequestsJS,mean_numRequestsHTML,mean_numRequestsCSS,mean_numGET,variance_numRequests,variance_tamanhoResposta,variance_numRequestsJS,variance_numRequestsHTML,variance_numRequestsCSS,variance_numGET,covariance_numRequests_tamanhoResposta,covariance_numRequestsJS_numRequestsHTML_numRequestsCSS,covariance_numGET_numRequests
276,165.22.91.104,1.0,455.0,0.0,0.0,0.0,1.0,,,,,,,,,
276,209.38.193.142,1.0,1012.0,0.0,0.0,0.0,1.0,,,,,,,,,
276,209.38.196.136,3.0,1365.0,0.0,0.0,0.0,3.0,,,,,,,,,
276,209.38.209.74,1.0,455.0,0.0,0.0,0.0,1.0,,,,,,,,,
277,178.215.238.67,1.0,455.0,0.0,0.0,0.0,1.0,,,,,,,,,
277,46.19.138.234,1.0,1068.0,0.0,0.0,0.0,1.0,,,,,,,,,
279,59.126.205.77,1.0,1944.0,0.0,0.0,0.0,1.0,,,,,,,,,
280,149.50.106.25,1.0,1068.0,0.0,0.0,0.0,1.0,,,,,,,,,
283,167.94.145.98,4.0,3875.0,0.0,0.0,0.0,3.0,,,,,,,,,
284,45.202.35.17,1.0,492.0,0.0,0.0,0.0,0.0,,,,,,,,,
284,87.120.114.229,1.0,436.0,0.0,0.0,0.0,1.0,,,,,,,,,
285,5.8.11.202,1.0,1944.0,0.0,0.0,0.0,1.0,,,,,,,,,
