numRequests,tamanhoResposta,totalImageSize,RequestsJS,RequestsHTML,RequestsCSS,avgNumRequests,avgTamanhoResposta,avgTotalImageSize,avgRequestsJS,avgRequestsHTML,avgRequestsCSS,totalSilenceTime,avgSilenceTime,silenceCount,Label
352,8222010,6234840,122,29,101,35.2,822201.0,623484.0,12.2,2.9,10.1,281.0,10.035714285714286,28,1
353,8456652,6320335,127,29,106,35.3,845665.2,632033.5,12.7,2.9,10.6,281.0,10.035714285714286,28,1
363,9473943,7474354,122,29,104,36.3,947394.3,747435.4,12.2,2.9,10.4,281.0,10.035714285714286,28,1
346,9272480,7520183,110,29,93,34.6,927248.0,752018.3,11.0,2.9,9.3,281.0,10.035714285714286,28,1
337,9249219,7553736,107,29,92,33.7,924921.9,755373.6,10.7,2.9,9.2,281.0,10.035714285714286,28,1
364,10908733,9217188,100,30,94,36.4,1090873.3,921718.8,10.0,3.0,9.4,291.0,10.03448275862069,29,1
377,11903514,10317625,100,30,88,37.7,1190351.4,1031762.5,10.0,3.0,8.8,292.0,10.06896551724138,29,1
361,10241300,8593972,100,30,87,36.1,1024130.0,859397.2,10.0,3.0,8.7,292.0,10.06896551724138,29,1
334,9290149,7677368,100,29,82,33.4,929014.9,767736.8,10.0,2.9,8.2,281.0,10.035714285714286,28,1
360,10653212,9093840,97,29,83,36.0,1065321.2,909384.0,9.7,2.9,8.3,281.0,10.035714285714286,28,1
349,9302464,7613615,112,29,82,34.9,930246.4,761361.5,11.2,2.9,8.2,280.0,10.0,28,1
316,6980352,5315653,109,29,81,31.6,698035.2,531565.3,10.9,2.9,8.1,280.0,10.0,28,1
314,6842489,5102640,110,29,90,31.4,684248.9,510264.0,11.0,2.9,9.0,280.0,10.0,28,1
335,8003324,6269015,106,30,94,33.5,800332.4,626901.5,10.6,3.0,9.4,290.0,10.0,29,1
382,10112905,8188457,112,30,97,38.2,1011290.5,818845.7,11.2,3.0,9.7,291.0,10.03448275862069,29,1
331,7514048,5782230,97,29,88,33.1,751404.8,578223.0,9.7,2.9,8.8,281.0,10.035714285714286,28,1
363,8766718,6873357,103,29,100,36.3,876671.8,687335.7,10.3,2.9,10.0,281.0,10.035714285714286,28,1
369,10255282,8354002,106,29,92,36.9,1025528.2,835400.2,10.6,2.9,9.2,281.0,10.035714285714286,28,1
403,11770108,9783179,110,29,91,40.3,1177010.8,978317.9,11.0,2.9,9.1,280.0,10.0,28,1
322,8455047,6743055,99,29,83,32.2,845504.7,674305.5,9.9,2.9,8.3,281.0,10.035714285714286,28,1
375,11854601,10116796,97,30,83,37.5,1185460.1,1011679.6,9.7,3.0,8.3,291.0,10.03448275862069,29,1
335,10722240,9232621,81,30,71,33.5,1072224.0,923262.1,8.1,3.0,7.1,291.0,10.03448275862069,29,1
352,10673226,9248049,79,30,77,35.2,1067322.6,924804.9,7.9,3.0,7.7,291.0,10.03448275862069,29,1
371,12457480,11127082,74,29,74,37.1,1245748.0,1112708.2,7.4,2.9,7.4,281.0,10.035714285714286,28,1
400,13585155,12012261,86,29,85,40.0,1358515.5,1201226.1,8.6,2.9,8.5,281.0,10.035714285714286,28,1
354,11243126,9754569,86,29,81,35.4,1124312.6,975456.9,8.6,2.9,8.1,281.0,10.035714285714286,28,1
417,16816091,15330746,83,29,76,41.7,1681609.1,1533074.6,8.3,2.9,7.6,281.0,10.035714285714286,28,1
357,14825434,13577690,69,29,61,35.7,1482543.4,1357769.0,6.9,2.9,6.1,291.0,10.03448275862069,29,1
340,12755285,11295094,82,30,78,34.0,1275528.5,1129509.4,8.2,3.0,7.8,291.0,10.03448275862069,29,1
346,13412236,12105638,77,29,74,34.6,1341223.6,1210563.8,7.7,2.9,7.4,280.0,10.0,28,1
396,14999511,13554175,85,29,83,39.6,1499951.1,1355417.5,8.5,2.9,8.3,280.0,10.0,28,1
358,11421390,10029537,86,29,88,35.8,1142139.0,1002953.7,8.6,2.9,8.8,280.0,10.0,28,1
419,13066658,11313724,110,29,106,41.9,1306665.8,1131372.4,11.0,2.9,10.6,280.0,10.0,28,1
463,15789990,14248328,96,29,90,46.3,1578999.0,1424832.8,9.6,2.9,9.0,280.0,10.0,28,1
447,14881990,13387126,92,29,89,44.7,1488199.0,1338712.6,9.2,2.9,8.9,280.0,10.0,28,1
423,13487185,11999333,91,29,88,42.3,1348718.5,1199933.3,9.1,2.9,8.8,280.0,10.0,28,1
435,12115982,10328230,113,29,99,43.5,1211598.2,1032823.0,11.3,2.9,9.9,280.0,10.0,28,1
421,11491721,9835798,112,29,92,42.1,1149172.1,983579.8,11.2,2.9,9.2,281.0,10.035714285714286,28,1
352,6992580,5215770,125,29,102,35.2,699258.0,521577.0,12.5,2.9,10.2,291.0,10.03448275862069,29,1
362,6847089,4926806,131,29,103,36.2,684708.9,492680.6,13.1,2.9,10.3,281.0,10.035714285714286,28,1
366,11306491,9833835,82,26,78,36.6,1130649.1,983383.5,8.2,2.6,7.8,287.0,11.48,25,1
385,12964841,11400399,89,27,81,38.5,1296484.1,1140039.9,8.9,2.7,8.1,292.0,11.23076923076923,26,1
342,12121707,10849770,73,26,71,34.2,1212170.7,1084977.0,7.3,2.6,7.1,284.0,11.36,25,1
363,15494120,14373482,63,26,63,36.3,1549412.0,1437348.2,6.3,2.6,6.3,276.0,11.04,25,1
367,15140186,13925928,72,27,72,36.7,1514018.6,1392592.8,7.2,2.7,7.2,279.0,10.73076923076923,26,1
411,18256849,16897126,80,28,76,41.1,1825684.9,1689712.6,8.0,2.8,7.6,283.0,10.48148148148148,27,1
441,20101766,18770906,79,27,78,44.1,2010176.6,1877090.6,7.9,2.7,7.8,267.0,10.26923076923077,26,1
503,24675361,23362158,78,28,70,50.3,2467536.1,2336215.8,7.8,2.8,7.0,285.0,10.555555555555555,27,1
529,23574970,21991667,96,28,78,52.9,2357497.0,2199166.7,9.6,2.8,7.8,280.0,10.37037037037037,27,1
467,20055010,18464234,94,27,74,46.7,2005501.0,1846423.4,9.4,2.7,7.4,281.0,10.807692307692308,26,1
475,18064622,16455518,91,28,81,47.5,1806462.2,1645551.8,9.1,2.8,8.1,286.0,10.592592592592592,27,1
443,15035190,13499382,90,28,79,44.3,1503519.0,1349938.2,9.0,2.8,7.9,285.0,10.555555555555555,27,1
421,12245675,10677900,98,28,86,42.1,1224567.5,1067790.0,9.8,2.8,8.6,288.0,10.666666666666666,27,1
364,10391054,8972146,86,27,78,36.4,1039105.4,897214.6,8.6,2.7,7.8,282.0,10.846153846153848,26,1
384,11290107,9972826,80,27,77,38.4,1129010.7,997282.6,8.0,2.7,7.7,281.0,10.807692307692308,26,1
328,10420533,9184483,76,27,61,32.8,1042053.3,918448.3,7.6,2.7,6.1,281.0,10.807692307692308,26,1
325,10064633,8691906,80,27,66,32.5,1006463.3,869190.6,8.0,2.7,6.6,287.0,11.038461538461538,26,1
346,12712647,11158323,85,27,72,34.6,1271264.7,1115832.3,8.5,2.7,7.2,278.0,10.692307692307692,26,1
344,12737670,11163974,84,27,70,34.4,1273767.0,1116397.4,8.4,2.7,7.0,271.0,10.423076923076923,26,1
336,12503497,10872169,93,28,79,33.6,1250349.7,1087216.9,9.3,2.8,7.9,287.0,10.62962962962963,27,1
339,13373849,11776201,92,28,85,33.9,1337384.9,1177620.1,9.2,2.8,8.5,286.0,10.592592592592592,27,1
327,13612458,12238168,82,28,72,32.7,1361245.8,1223816.8,8.2,2.8,7.2,289.0,10.703703703703704,27,1
313,10170245,8632960,89,28,79,31.3,1017024.5,863296.0,8.9,2.8,7.9,288.0,10.666666666666666,27,1
322,12374188,11013033,80,28,74,32.2,1237418.8,1101303.3,8.0,2.8,7.4,284.0,10.51851851851852,27,1
323,11090989,9583034,87,28,74,32.3,1109098.9,958303.4,8.7,2.8,7.4,290.0,10.74074074074074,27,1
382,13332780,11547548,97,28,88,38.2,1333278.0,1154754.8,9.7,2.8,8.8,281.0,10.407407407407408,27,1
